Date,Ticker,BRIGADE.NS,DLF.NS,GODREJPROP.NS,IBREALEST.NS,LODHA.NS,OBEROIRLTY.NS,PHOENIXLTD.NS,PRESTIGE.NS,SOBHA.NS,SUNTECK.NS
2004-12-22,Open,,,,77.0,,,,,,
2004-12-22,Volume,,,,1526580.0,,,,,,
2004-12-23,Adj Close,,,,72.53585815429688,,,,,,
2004-12-23,Close,,,,83.0,,,,,,
2004-12-23,High,,,,83.0,,,,,,
2004-12-23,Low,,,,79.0,,,,,,
2004-12-23,Open,,,,80.0,,,,,,
2004-12-23,Volume,,,,1612260.0,,,,,,
2004-12-24,Adj Close,,,,76.16265106201172,,,,,,
2004-12-24,Close,,,,87.1500015258789,,,,,,
2004-12-24,High,,,,87.1500015258789,,,,,,
2004-12-24,Low,,,,85.0999984741211,,,,,,
2004-12-24,Open,,,,86.80000305175781,,,,,,
2004-12-24,Volume,,,,497547.0,,,,,,
2004-12-27,Adj Close,,,,73.4097900390625,,,,,,
2004-12-27,Close,,,,84.0,,,,,,
2004-12-27,High,,,,90.5999984741211,,,,,,
2004-12-27,Low,,,,83.75,,,,,,
2004-12-27,Open,,,,90.0,,,,,,
2004-12-27,Volume,,,,1239549.0,,,,,,
2004-12-28,Adj Close,,,,73.4097900390625,,,,,,
2004-12-28,Close,,,,84.0,,,,,,
2004-12-28,High,,,,84.0,,,,,,
2004-12-28,Low,,,,84.0,,,,,,
2004-12-28,Open,,,,84.0,,,,,,
2004-12-28,Volume,,,,0.0,,,,,,
2004-12-29,Adj Close,,,,71.31236267089844,,,,,,
2004-12-29,Close,,,,81.5999984741211,,,,,,
2004-12-29,High,,,,84.9000015258789,,,,,,
2004-12-29,Low,,,,80.0999984741211,,,,,,
2004-12-29,Open,,,,83.44999694824219,,,,,,
2004-12-29,Volume,,,,724680.0,,,,,,
2004-12-30,Adj Close,,,,70.045166015625,,,,,,
2004-12-30,Close,,,,80.1500015258789,,,,,,
2004-12-30,High,,,,83.0999984741211,,,,,,
2004-12-30,Low,,,,79.0,,,,,,
2004-12-30,Open,,,,82.25,,,,,,
